timestamp,event_type,user,source_ip,source_host,severity
2026-09-11T14:09:13,password_change,rahul,192.168.1.33,PC-18,low
2026-09-11T14:10:43,login_failed,amit,192.168.1.17,PC-07,medium
2026-09-11T14:13:14,login_success,admin,192.168.1.40,PC-25,medium
2026-09-11T14:18:45,session_timeout,amit,192.168.1.33,PC-18,low
2026-09-11T14:21:53,session_timeout,amit,192.168.1.17,PC-07,low
2026-09-11T14:31:39,logout,admin,192.168.1.46,PC-31,medium
2026-09-11T14:32:14,session_timeout,priya,192.168.1.25,PC-12,medium
2026-09-11T14:35:51,login_success,priya,192.168.1.33,PC-18,low
2026-09-11T14:49:21,login_failed,sanchi,192.168.1.11,PC-01,medium
2026-09-11T14:51:17,session_timeout,admin,192.168.1.46,PC-31,medium
2026-09-11T15:06:13,logout,admin,192.168.1.17,PC-07,medium
2026-09-11T15:10:43,login_failed,rahul,192.168.1.11,PC-01,medium
2026-09-11T15:12:06,login_failed,sanchi,192.168.1.17,PC-07,medium
2026-09-11T15:24:36,password_change,admin,192.168.1.40,PC-25,medium
2026-09-11T15:25:55,login_success,amit,192.168.1.25,PC-12,low
2026-09-11T15:33:52,session_timeout,sanchi,192.168.1.17,PC-07,low
2026-09-11T15:34:12,session_timeout,admin,192.168.1.17,PC-07,medium
2026-09-11T15:38:09,login_failed,neha,192.168.1.25,PC-12,low
2026-09-11T15:39:39,login_success,neha,192.168.1.25,PC-12,low
2026-09-11T15:48:46,logout,priya,192.168.1.33,PC-18,medium
2026-09-11T15:52:58,session_timeout,priya,192.168.1.33,PC-18,medium
2026-09-11T15:56:57,logout,admin,192.168.1.33,PC-18,low
2026-09-11T16:03:25,login_success,priya,192.168.1.25,PC-12,low
2026-09-11T16:10:41,logout,priya,192.168.1.11,PC-01,medium
2026-09-11T16:19:42,login_failed,amit,192.168.1.11,PC-01,low
2026-09-11T16:22:42,password_change,admin,192.168.1.40,PC-25,medium
2026-09-11T16:30:05,login_success,amit,192.168.1.25,PC-12,low
2026-09-11T16:31:49,password_change,priya,192.168.1.25,PC-12,low
2026-09-11T16:36:28,password_change,amit,192.168.1.33,PC-18,low
2026-09-11T16:58:25,password_change,neha,192.168.1.46,PC-31,medium
2026-09-11T16:59:04,password_change,admin,192.168.1.46,PC-31,low
2026-09-11T17:01:53,logout,admin,192.168.1.25,PC-12,low
2026-09-11T17:04:03,logout,sanchi,192.168.1.17,PC-07,low
2026-09-11T17:15:00,login_success,neha,192.168.1.11,PC-01,low
2026-09-11T17:24:40,login_failed,sanchi,192.168.1.40,PC-25,medium
2026-09-11T17:44:29,password_change,priya,192.168.1.33,PC-18,medium
2026-09-11T17:46:56,login_failed,admin,192.168.1.11,PC-01,medium
2026-09-11T17:57:37,session_timeout,neha,192.168.1.40,PC-25,low
2026-09-11T17:59:06,password_change,neha,192.168.1.40,PC-25,low
2026-09-11T18:01:33,logout,admin,192.168.1.40,PC-25,low
2026-09-11T18:07:36,login_success,neha,192.168.1.46,PC-31,low
2026-09-11T18:10:51,login_success,rahul,192.168.1.33,PC-18,low
2026-09-11T18:17:51,login_failed,sanchi,192.168.1.11,PC-01,low
2026-09-11T18:20:07,logout,rahul,192.168.1.11,PC-01,low
2026-09-11T18:30:13,logout,admin,192.168.1.11,PC-01,medium
2026-09-11T18:36:22,password_change,neha,192.168.1.33,PC-18,medium
2026-09-11T18:37:09,password_change,neha,192.168.1.17,PC-07,low
2026-09-11T18:50:50,login_failed,admin,192.168.1.33,PC-18,low
2026-09-11T19:03:11,session_timeout,neha,192.168.1.17,PC-07,medium
2026-09-11T19:05:42,session_timeout,rahul,192.168.1.33,PC-18,low
2026-09-11T19:08:34,password_change,rahul,192.168.1.11,PC-01,medium
2026-09-11T19:16:26,password_change,rahul,192.168.1.46,PC-31,low
2026-09-11T19:26:12,logout,neha,192.168.1.46,PC-31,medium
2026-09-11T19:29:39,logout,neha,192.168.1.46,PC-31,low
2026-09-11T19:35:22,session_timeout,amit,192.168.1.17,PC-07,low
2026-09-11T19:38:07,login_failed,priya,192.168.1.11,PC-01,low
2026-09-11T19:39:01,password_change,amit,192.168.1.40,PC-25,low
2026-09-11T19:40:14,logout,admin,192.168.1.17,PC-07,medium
2026-09-11T19:42:50,login_success,neha,192.168.1.46,PC-31,medium
2026-09-11T19:54:43,password_change,amit,192.168.1.40,PC-25,medium
2026-09-11T19:59:14,session_timeout,rahul,192.168.1.11,PC-01,medium
2026-09-11T20:09:19,password_change,admin,192.168.1.17,PC-07,medium
2026-09-11T20:09:45,session_timeout,sanchi,192.168.1.46,PC-31,medium
2026-09-11T20:10:55,logout,amit,192.168.1.46,PC-31,low
2026-09-11T20:22:33,session_timeout,neha,192.168.1.33,PC-18,medium
2026-09-11T20:24:10,logout,neha,192.168.1.25,PC-12,medium
2026-09-11T20:29:37,session_timeout,priya,192.168.1.33,PC-18,low
2026-09-11T20:36:15,logout,rahul,192.168.1.17,PC-07,medium
2026-09-11T20:41:09,password_change,admin,192.168.1.17,PC-07,low
2026-09-11T20:58:49,login_success,priya,192.168.1.40,PC-25,low
2026-09-11T20:59:59,password_change,neha,192.168.1.33,PC-18,low
2026-09-11T21:00:18,session_timeout,rahul,192.168.1.46,PC-31,low
2026-09-11T21:03:49,password_change,sanchi,192.168.1.17,PC-07,medium
2026-09-11T21:09:49,login_success,sanchi,192.168.1.17,PC-07,low
2026-09-11T21:19:28,login_success,rahul,192.168.1.40,PC-25,medium
2026-09-11T21:29:19,session_timeout,rahul,192.168.1.46,PC-31,low
2026-09-11T21:30:41,password_change,rahul,192.168.1.11,PC-01,low
2026-09-11T21:31:45,password_change,priya,192.168.1.46,PC-31,low
2026-09-11T21:42:56,login_failed,neha,192.168.1.46,PC-31,medium
2026-09-11T21:48:24,login_success,rahul,192.168.1.17,PC-07,medium
2026-09-11T21:48:36,logout,rahul,192.168.1.25,PC-12,medium
2026-09-11T22:06:13,password_change,amit,192.168.1.40,PC-25,medium
2026-09-11T22:14:52,logout,rahul,192.168.1.33,PC-18,low
2026-09-11T22:24:17,logout,neha,192.168.1.11,PC-01,medium
2026-09-11T22:29:02,logout,neha,192.168.1.46,PC-31,medium
2026-09-11T22:38:28,logout,amit,192.168.1.33,PC-18,low
2026-09-11T22:43:50,login_failed,sanchi,192.168.1.17,PC-07,low
2026-09-11T22:52:37,session_timeout,amit,192.168.1.33,PC-18,low
2026-09-11T23:12:56,login_success,sanchi,192.168.1.17,PC-07,low
2026-09-11T23:28:40,logout,sanchi,192.168.1.17,PC-07,low
2026-09-11T23:46:55,logout,rahul,192.168.1.40,PC-25,medium
2026-09-11T23:49:57,logout,rahul,192.168.1.25,PC-12,medium
2026-09-11T23:50:23,logout,sanchi,192.168.1.33,PC-18,low
2026-09-11T23:52:48,login_failed,admin,192.168.1.46,PC-31,medium
2026-09-11T23:56:45,login_failed,priya,192.168.1.17,PC-07,low
2026-09-12T00:20:45,login_success,amit,192.168.1.40,PC-25,low
2026-09-12T00:31:36,logout,priya,192.168.1.46,PC-31,medium
2026-09-12T00:33:03,login_success,neha,192.168.1.17,PC-07,low
2026-09-12T00:36:21,login_failed,sanchi,192.168.1.11,PC-01,medium
2026-09-12T00:43:25,logout,priya,192.168.1.17,PC-07,medium
2026-09-12T00:52:08,logout,sanchi,192.168.1.33,PC-18,low
2026-09-12T00:52:25,session_timeout,admin,192.168.1.46,PC-31,medium
2026-09-12T00:58:03,login_success,admin,192.168.1.46,PC-31,low
2026-09-12T01:02:45,session_timeout,rahul,192.168.1.17,PC-07,medium
2026-09-12T01:06:17,session_timeout,admin,192.168.1.25,PC-12,medium
2026-09-12T01:07:39,login_failed,admin,192.168.1.33,PC-18,medium
2026-09-12T01:08:16,password_change,rahul,192.168.1.17,PC-07,medium
2026-09-12T01:15:21,session_timeout,amit,192.168.1.46,PC-31,low
2026-09-12T01:20:55,password_change,sanchi,192.168.1.11,PC-01,low
2026-09-12T01:24:04,session_timeout,priya,192.168.1.46,PC-31,medium
2026-09-12T01:28:44,session_timeout,neha,192.168.1.17,PC-07,medium
2026-09-12T01:38:53,logout,neha,192.168.1.11,PC-01,medium
2026-09-12T01:40:50,session_timeout,neha,192.168.1.17,PC-07,medium
2026-09-12T01:42:11,logout,rahul,192.168.1.46,PC-31,medium
2026-09-12T01:57:04,login_success,priya,192.168.1.33,PC-18,low
2026-09-12T02:06:48,session_timeout,amit,192.168.1.46,PC-31,medium
2026-09-12T02:19:03,logout,rahul,192.168.1.11,PC-01,low
2026-09-12T02:31:50,login_failed,rahul,192.168.1.46,PC-31,medium
2026-09-12T02:33:18,password_change,sanchi,192.168.1.25,PC-12,medium
2026-09-12T02:33:34,logout,rahul,192.168.1.25,PC-12,medium
2026-09-12T02:55:46,login_failed,admin,192.168.1.33,PC-18,medium
2026-09-12T02:55:52,logout,priya,192.168.1.25,PC-12,low
2026-09-12T02:56:21,session_timeout,sanchi,192.168.1.46,PC-31,low
2026-09-12T03:01:01,session_timeout,neha,192.168.1.40,PC-25,low
2026-09-12T03:06:45,logout,sanchi,192.168.1.33,PC-18,medium
2026-09-12T03:13:51,logout,amit,192.168.1.40,PC-25,medium
2026-09-12T03:14:30,session_timeout,priya,192.168.1.11,PC-01,low
2026-09-12T03:17:57,password_change,amit,192.168.1.11,PC-01,medium
2026-09-12T03:21:58,logout,rahul,192.168.1.25,PC-12,medium
2026-09-12T03:45:04,logout,neha,192.168.1.25,PC-12,medium
2026-09-12T03:46:33,password_change,neha,192.168.1.25,PC-12,medium
2026-09-12T03:47:18,password_change,amit,192.168.1.17,PC-07,medium
2026-09-12T03:50:51,logout,rahul,192.168.1.33,PC-18,medium
2026-09-12T04:07:10,login_failed,amit,192.168.1.17,PC-07,medium
2026-09-12T04:08:43,session_timeout,priya,192.168.1.25,PC-12,medium
2026-09-12T04:25:17,login_success,priya,192.168.1.25,PC-12,medium
2026-09-12T04:43:11,password_change,neha,192.168.1.25,PC-12,low
2026-09-12T04:48:35,login_failed,neha,192.168.1.11,PC-01,medium
2026-09-12T04:50:39,login_failed,admin,192.168.1.11,PC-01,low
2026-09-12T04:55:46,login_failed,amit,192.168.1.46,PC-31,medium
2026-09-12T05:01:34,password_change,admin,192.168.1.33,PC-18,medium
2026-09-12T05:15:52,login_success,sanchi,192.168.1.40,PC-25,low
2026-09-12T05:23:42,password_change,neha,192.168.1.17,PC-07,low
2026-09-12T05:31:22,login_success,sanchi,192.168.1.11,PC-01,medium
2026-09-12T05:33:01,logout,sanchi,192.168.1.46,PC-31,low
2026-09-12T05:37:58,session_timeout,neha,192.168.1.46,PC-31,medium
2026-09-12T05:38:06,login_failed,priya,192.168.1.46,PC-31,medium
2026-09-12T05:38:22,login_failed,rahul,192.168.1.25,PC-12,low
2026-09-12T05:39:58,login_failed,rahul,192.168.1.17,PC-07,low
2026-09-12T05:51:51,session_timeout,rahul,192.168.1.25,PC-12,low
2026-09-12T05:56:50,password_change,admin,192.168.1.17,PC-07,medium
2026-09-12T06:02:20,password_change,sanchi,192.168.1.25,PC-12,medium
2026-09-12T06:03:19,password_change,rahul,192.168.1.40,PC-25,low
2026-09-12T06:04:15,login_failed,neha,192.168.1.33,PC-18,low
2026-09-12T06:08:32,logout,neha,192.168.1.25,PC-12,low
2026-09-12T06:25:19,login_success,rahul,192.168.1.11,PC-01,low
2026-09-12T06:26:03,session_timeout,neha,192.168.1.46,PC-31,medium
2026-09-12T06:36:17,login_failed,priya,192.168.1.17,PC-07,low
2026-09-12T06:39:24,password_change,rahul,192.168.1.11,PC-01,low
2026-09-12T06:54:03,password_change,sanchi,192.168.1.33,PC-18,medium
2026-09-12T06:56:32,logout,amit,192.168.1.11,PC-01,low
2026-09-12T06:57:50,password_change,priya,192.168.1.33,PC-18,low
2026-09-12T07:00:31,login_success,priya,192.168.1.46,PC-31,low
2026-09-12T07:01:14,login_success,neha,192.168.1.46,PC-31,low
2026-09-12T07:05:14,login_success,priya,192.168.1.40,PC-25,medium
2026-09-12T07:15:56,session_timeout,priya,192.168.1.11,PC-01,medium
2026-09-12T07:17:02,password_change,admin,192.168.1.40,PC-25,medium
2026-09-12T07:25:28,login_success,neha,192.168.1.11,PC-01,low
2026-09-12T07:25:39,session_timeout,admin,192.168.1.25,PC-12,low
2026-09-12T07:27:58,logout,amit,192.168.1.40,PC-25,low
2026-09-12T07:29:57,login_success,admin,192.168.1.11,PC-01,low
2026-09-12T07:34:16,login_failed,sanchi,192.168.1.25,PC-12,low
2026-09-12T07:39:52,login_failed,rahul,192.168.1.46,PC-31,medium
2026-09-12T07:39:53,logout,priya,192.168.1.40,PC-25,medium
2026-09-12T07:42:52,password_change,rahul,192.168.1.33,PC-18,medium
2026-09-12T07:43:13,logout,admin,192.168.1.25,PC-12,medium
2026-09-12T07:48:24,login_success,sanchi,192.168.1.33,PC-18,low
2026-09-12T07:58:49,login_success,sanchi,192.168.1.11,PC-01,low
2026-09-12T08:03:35,login_success,amit,192.168.1.46,PC-31,low
2026-09-12T08:04:17,password_change,amit,192.168.1.11,PC-01,low
2026-09-12T08:10:40,session_timeout,priya,192.168.1.17,PC-07,low
2026-09-12T08:11:45,login_failed,priya,192.168.1.11,PC-01,low
2026-09-12T08:16:13,login_success,priya,192.168.1.40,PC-25,medium
2026-09-12T08:24:36,password_change,amit,192.168.1.25,PC-12,low
2026-09-12T08:25:28,password_change,amit,192.168.1.33,PC-18,medium
2026-09-12T08:28:51,logout,rahul,192.168.1.17,PC-07,low
2026-09-12T08:33:03,session_timeout,rahul,192.168.1.33,PC-18,medium
2026-09-12T08:40:09,password_change,admin,192.168.1.46,PC-31,low
2026-09-12T08:45:27,login_failed,amit,192.168.1.46,PC-31,medium
2026-09-12T08:45:59,session_timeout,sanchi,192.168.1.46,PC-31,low
2026-09-12T08:49:09,password_change,neha,192.168.1.25,PC-12,low
2026-09-12T08:55:44,password_change,amit,192.168.1.17,PC-07,medium
2026-09-12T08:56:18,login_failed,amit,192.168.1.17,PC-07,medium
2026-09-12T09:13:31,logout,sanchi,192.168.1.33,PC-18,low
2026-09-12T09:15:46,logout,admin,192.168.1.46,PC-31,medium
2026-09-12T09:16:50,logout,rahul,192.168.1.11,PC-01,low
2026-09-12T09:24:06,password_change,admin,192.168.1.17,PC-07,low
2026-09-12T09:39:35,session_timeout,rahul,192.168.1.25,PC-12,medium
2026-09-12T09:43:46,login_failed,rahul,192.168.1.11,PC-01,low
