timestamp,event_type,user,source_host,destination_host,action,severity
2026-09-11T20:45:45,login_attempt,sanchi,PC-18,DB-01,read,low
2026-09-11T20:47:34,service_request,priya,PC-07,SRV-03,read,low
2026-09-11T20:51:06,api_request,priya,PC-31,SRV-03,write,low
2026-09-11T20:52:51,service_request,rahul,PC-18,SRV-01,write,low
2026-09-11T21:23:00,database_query,amit,PC-01,SRV-01,write,medium
2026-09-11T21:24:13,database_query,neha,PC-07,DB-01,request,low
2026-09-11T21:38:30,login_attempt,priya,PC-01,SRV-01,query,medium
2026-09-11T21:41:05,database_query,admin,PC-01,DB-01,request,low
2026-09-11T21:43:53,api_request,amit,PC-07,SRV-01,write,low
2026-09-11T22:02:45,api_request,sanchi,PC-07,SRV-02,request,low
2026-09-11T22:03:46,database_query,sanchi,PC-12,DB-02,query,low
2026-09-11T22:04:18,database_query,admin,PC-18,DB-01,request,medium
2026-09-11T22:24:36,login_attempt,sanchi,PC-01,SRV-02,request,medium
2026-09-11T22:26:41,api_request,neha,PC-18,SRV-02,read,medium
2026-09-11T22:29:39,service_request,priya,PC-31,SRV-02,query,medium
2026-09-11T22:32:14,login_attempt,sanchi,PC-07,SRV-01,request,low
2026-09-11T22:35:51,service_request,admin,PC-07,DB-02,write,low
2026-09-11T22:43:16,database_query,neha,PC-07,SRV-03,request,medium
2026-09-11T22:49:28,service_request,amit,PC-18,DB-02,query,medium
2026-09-11T23:26:58,database_query,neha,PC-18,SRV-01,query,medium
2026-09-11T23:33:36,database_query,rahul,PC-12,SRV-03,request,medium
2026-09-11T23:34:00,login_attempt,sanchi,PC-07,SRV-01,query,medium
2026-09-11T23:44:00,service_request,rahul,PC-18,SRV-03,request,low
2026-09-11T23:56:46,service_request,priya,PC-18,DB-02,query,low
2026-09-11T23:57:22,file_upload,rahul,PC-01,DB-02,request,low
2026-09-12T00:05:38,login_attempt,amit,PC-18,DB-02,write,medium
2026-09-12T00:06:18,database_query,priya,PC-25,DB-02,query,medium
2026-09-12T00:10:52,api_request,priya,PC-01,DB-02,read,low
2026-09-12T00:24:37,api_request,sanchi,PC-31,SRV-02,query,medium
2026-09-12T00:41:19,service_request,admin,PC-01,DB-02,read,low
2026-09-12T00:49:28,database_query,priya,PC-18,DB-02,read,low
2026-09-12T00:50:29,login_attempt,admin,PC-18,DB-01,request,low
2026-09-12T00:55:07,service_request,sanchi,PC-07,SRV-01,query,low
2026-09-12T00:58:27,database_query,admin,PC-01,SRV-01,request,low
2026-09-12T01:05:21,service_request,neha,PC-07,DB-02,read,low
2026-09-12T01:10:27,file_upload,amit,PC-31,SRV-01,query,low
2026-09-12T01:10:27,service_request,admin,PC-18,SRV-01,request,medium
2026-09-12T01:22:43,api_request,rahul,PC-25,SRV-01,query,low
2026-09-12T01:24:52,file_upload,rahul,PC-31,DB-01,write,medium
2026-09-12T01:26:41,login_attempt,rahul,PC-07,DB-02,read,low
2026-09-12T01:30:36,api_request,priya,PC-01,SRV-01,read,low
2026-09-12T01:45:34,login_attempt,priya,PC-31,SRV-02,request,medium
2026-09-12T02:20:56,file_upload,neha,PC-07,SRV-02,write,low
2026-09-12T02:24:08,service_request,admin,PC-31,DB-02,write,medium
2026-09-12T02:28:42,file_upload,rahul,PC-25,DB-02,query,low
2026-09-12T02:29:15,service_request,neha,PC-07,DB-01,request,medium
2026-09-12T02:42:41,database_query,sanchi,PC-07,DB-01,query,low
2026-09-12T03:07:54,service_request,rahul,PC-31,DB-02,read,medium
2026-09-12T03:08:26,service_request,neha,PC-31,SRV-03,write,medium
2026-09-12T03:14:31,login_attempt,rahul,PC-12,DB-01,query,medium
2026-09-12T03:30:01,api_request,sanchi,PC-07,SRV-01,read,low
2026-09-12T03:47:46,login_attempt,amit,PC-18,SRV-02,request,medium
2026-09-12T03:57:09,login_attempt,admin,PC-12,DB-02,read,medium
2026-09-12T04:03:10,database_query,neha,PC-01,DB-01,write,medium
2026-09-12T04:07:19,database_query,neha,PC-25,SRV-02,write,medium
2026-09-12T04:08:53,login_attempt,admin,PC-12,SRV-01,read,low
2026-09-12T04:23:27,api_request,admin,PC-31,SRV-01,write,medium
2026-09-12T04:28:14,file_upload,sanchi,PC-07,DB-02,request,low
2026-09-12T04:30:28,file_upload,neha,PC-31,DB-02,write,low
2026-09-12T04:36:07,login_attempt,priya,PC-12,SRV-01,query,medium
2026-09-12T04:37:34,database_query,priya,PC-25,SRV-01,read,low
2026-09-12T04:49:06,login_attempt,sanchi,PC-25,DB-02,query,low
2026-09-12T04:56:37,file_upload,sanchi,PC-25,DB-02,query,low
2026-09-12T04:57:16,login_attempt,rahul,PC-25,SRV-02,query,low
2026-09-12T05:06:28,file_upload,priya,PC-25,DB-02,request,low
2026-09-12T05:25:22,service_request,neha,PC-07,DB-01,request,low
2026-09-12T06:09:19,file_upload,priya,PC-07,SRV-02,request,medium
2026-09-12T06:10:28,database_query,priya,PC-31,DB-02,request,medium
2026-09-12T06:29:12,database_query,rahul,PC-12,DB-02,query,medium
2026-09-12T06:35:28,login_attempt,amit,PC-12,SRV-03,write,low
2026-09-12T06:51:01,database_query,amit,PC-12,SRV-01,write,low
2026-09-12T06:54:15,api_request,priya,PC-18,SRV-02,read,low
2026-09-12T07:02:46,file_upload,priya,PC-31,SRV-02,query,low
2026-09-12T07:30:30,file_upload,admin,PC-25,DB-01,query,medium
2026-09-12T07:37:26,api_request,rahul,PC-31,SRV-01,read,low
2026-09-12T07:37:40,login_attempt,amit,PC-18,SRV-01,write,medium
2026-09-12T07:59:54,service_request,amit,PC-31,SRV-03,write,medium
2026-09-12T08:08:56,login_attempt,sanchi,PC-31,SRV-03,query,medium
2026-09-12T08:10:22,login_attempt,priya,PC-07,SRV-03,request,medium
2026-09-12T08:14:25,login_attempt,neha,PC-07,SRV-01,write,medium
2026-09-12T08:15:31,login_attempt,rahul,PC-31,SRV-02,query,low
2026-09-12T08:22:21,login_attempt,admin,PC-31,DB-01,query,medium
2026-09-12T08:58:30,api_request,neha,PC-12,SRV-01,query,medium
2026-09-12T09:33:49,login_attempt,neha,PC-12,SRV-03,request,low
2026-09-12T09:49:38,file_upload,rahul,PC-07,SRV-03,request,medium
2026-09-12T09:55:36,api_request,sanchi,PC-31,DB-01,read,low
