timestamp,event_type,user,source_ip,source_host,destination_host,action,severity
2026-09-11T13:20:55,connection_allowed,admin,192.168.1.25,PC-12,SRV-01,http,low
2026-09-11T13:24:15,http_request,amit,192.168.1.33,PC-18,SRV-02,tcp,low
2026-09-11T13:43:43,connection_blocked,sanchi,192.168.1.46,PC-31,SRV-03,http,medium
2026-09-11T13:53:46,connection_blocked,neha,192.168.1.11,PC-01,SRV-03,dns,medium
2026-09-11T14:06:30,http_request,amit,192.168.1.11,PC-01,SRV-03,http,low
2026-09-11T14:13:22,ssh_connection,rahul,192.168.1.33,PC-18,SRV-03,ssh,low
2026-09-11T14:16:29,dns_query,amit,192.168.1.46,PC-31,SRV-02,dns,low
2026-09-11T14:20:55,connection_blocked,priya,192.168.1.11,PC-01,SRV-03,http,low
2026-09-11T14:23:45,connection_blocked,admin,192.168.1.40,PC-25,SRV-02,ssh,medium
2026-09-11T14:29:02,http_request,sanchi,192.168.1.40,PC-25,SRV-03,tcp,medium
2026-09-11T14:45:33,dns_query,priya,192.168.1.17,PC-07,SRV-02,http,medium
2026-09-11T14:51:47,http_request,priya,192.168.1.33,PC-18,SRV-01,ssh,medium
2026-09-11T15:04:02,connection_blocked,sanchi,192.168.1.46,PC-31,SRV-02,dns,medium
2026-09-11T15:05:27,outbound_connection,rahul,192.168.1.17,PC-07,SRV-02,dns,medium
2026-09-11T15:07:14,connection_allowed,neha,192.168.1.25,PC-12,SRV-03,ssh,medium
2026-09-11T15:08:48,http_request,amit,192.168.1.40,PC-25,SRV-02,dns,medium
2026-09-11T15:09:29,dns_query,admin,192.168.1.25,PC-12,SRV-02,dns,medium
2026-09-11T15:10:34,dns_query,priya,192.168.1.40,PC-25,SRV-03,tcp,medium
2026-09-11T15:18:46,ssh_connection,amit,192.168.1.11,PC-01,SRV-02,tcp,medium
2026-09-11T15:18:47,http_request,sanchi,192.168.1.11,PC-01,SRV-01,tcp,medium
2026-09-11T15:19:28,connection_blocked,priya,192.168.1.46,PC-31,SRV-02,tcp,medium
2026-09-11T15:29:55,ssh_connection,admin,192.168.1.11,PC-01,SRV-01,ssh,low
2026-09-11T15:32:56,connection_blocked,admin,192.168.1.17,PC-07,SRV-02,dns,medium
2026-09-11T15:36:54,outbound_connection,neha,192.168.1.33,PC-18,SRV-03,tcp,medium
2026-09-11T15:39:29,http_request,admin,192.168.1.11,PC-01,SRV-01,ssh,medium
2026-09-11T15:47:17,outbound_connection,sanchi,192.168.1.25,PC-12,SRV-01,ssh,low
2026-09-11T16:05:22,connection_allowed,neha,192.168.1.11,PC-01,SRV-03,ssh,low
2026-09-11T16:28:03,dns_query,priya,192.168.1.33,PC-18,SRV-02,tcp,low
2026-09-11T16:28:12,outbound_connection,amit,192.168.1.46,PC-31,SRV-01,tcp,low
2026-09-11T16:37:45,ssh_connection,neha,192.168.1.40,PC-25,SRV-02,http,medium
2026-09-11T16:42:03,connection_allowed,amit,192.168.1.40,PC-25,SRV-03,http,low
2026-09-11T17:18:22,dns_query,priya,192.168.1.25,PC-12,SRV-03,dns,medium
2026-09-11T17:28:15,http_request,admin,192.168.1.40,PC-25,SRV-01,http,low
2026-09-11T17:30:11,ssh_connection,rahul,192.168.1.11,PC-01,SRV-01,tcp,low
2026-09-11T17:37:59,outbound_connection,rahul,192.168.1.33,PC-18,SRV-02,tcp,medium
2026-09-11T17:41:50,http_request,sanchi,192.168.1.46,PC-31,SRV-03,http,low
2026-09-11T17:46:13,connection_blocked,amit,192.168.1.33,PC-18,SRV-01,dns,medium
2026-09-11T17:49:43,connection_allowed,priya,192.168.1.25,PC-12,SRV-01,dns,medium
2026-09-11T17:51:17,http_request,amit,192.168.1.11,PC-01,SRV-01,ssh,medium
2026-09-11T18:06:28,dns_query,admin,192.168.1.11,PC-01,SRV-01,tcp,medium
2026-09-11T18:07:33,http_request,rahul,192.168.1.40,PC-25,SRV-01,tcp,medium
2026-09-11T18:21:42,dns_query,neha,192.168.1.17,PC-07,SRV-02,ssh,low
2026-09-11T18:31:29,connection_allowed,priya,192.168.1.33,PC-18,SRV-03,http,low
2026-09-11T18:37:31,outbound_connection,amit,192.168.1.25,PC-12,SRV-01,dns,medium
2026-09-11T18:46:24,outbound_connection,neha,192.168.1.17,PC-07,SRV-02,tcp,low
2026-09-11T18:46:39,ssh_connection,rahul,192.168.1.33,PC-18,SRV-03,http,medium
2026-09-11T18:49:57,outbound_connection,neha,192.168.1.46,PC-31,SRV-03,tcp,low
2026-09-11T18:50:31,dns_query,priya,192.168.1.25,PC-12,SRV-01,http,medium
2026-09-11T18:54:37,http_request,admin,192.168.1.46,PC-31,SRV-01,dns,low
2026-09-11T19:02:16,dns_query,neha,192.168.1.46,PC-31,SRV-03,http,medium
2026-09-11T19:31:23,http_request,admin,192.168.1.25,PC-12,SRV-03,http,medium
2026-09-11T19:33:07,ssh_connection,priya,192.168.1.46,PC-31,SRV-02,ssh,medium
2026-09-11T19:34:07,http_request,rahul,192.168.1.25,PC-12,SRV-01,dns,low
2026-09-11T19:38:55,connection_blocked,priya,192.168.1.11,PC-01,SRV-01,ssh,low
2026-09-11T19:49:18,connection_allowed,neha,192.168.1.11,PC-01,SRV-01,tcp,medium
2026-09-11T20:00:25,dns_query,neha,192.168.1.17,PC-07,SRV-03,tcp,medium
2026-09-11T20:11:17,connection_blocked,amit,192.168.1.11,PC-01,SRV-01,tcp,medium
2026-09-11T20:12:29,outbound_connection,rahul,192.168.1.40,PC-25,SRV-03,dns,medium
2026-09-11T20:37:10,http_request,priya,192.168.1.25,PC-12,SRV-02,ssh,medium
2026-09-11T20:45:37,connection_blocked,admin,192.168.1.46,PC-31,SRV-01,tcp,low
2026-09-11T20:53:46,connection_blocked,amit,192.168.1.17,PC-07,SRV-03,tcp,medium
2026-09-11T20:56:18,outbound_connection,neha,192.168.1.25,PC-12,SRV-03,tcp,medium
2026-09-11T20:56:27,ssh_connection,amit,192.168.1.25,PC-12,SRV-01,dns,medium
2026-09-11T20:59:12,connection_blocked,priya,192.168.1.25,PC-12,SRV-01,tcp,medium
2026-09-11T21:18:43,ssh_connection,admin,192.168.1.25,PC-12,SRV-01,http,medium
2026-09-11T21:24:09,dns_query,rahul,192.168.1.11,PC-01,SRV-01,dns,medium
2026-09-11T21:24:31,connection_blocked,admin,192.168.1.25,PC-12,SRV-02,dns,low
2026-09-11T21:31:20,ssh_connection,admin,192.168.1.17,PC-07,SRV-02,ssh,low
2026-09-11T21:36:35,connection_allowed,sanchi,192.168.1.40,PC-25,SRV-01,http,medium
2026-09-11T21:39:33,dns_query,admin,192.168.1.17,PC-07,SRV-02,http,low
2026-09-11T21:42:59,outbound_connection,sanchi,192.168.1.17,PC-07,SRV-02,ssh,low
2026-09-11T21:51:54,http_request,sanchi,192.168.1.33,PC-18,SRV-02,http,low
2026-09-11T21:52:58,dns_query,admin,192.168.1.11,PC-01,SRV-03,tcp,low
2026-09-11T21:56:47,connection_allowed,priya,192.168.1.40,PC-25,SRV-02,dns,medium
2026-09-11T22:04:23,connection_allowed,rahul,192.168.1.33,PC-18,SRV-01,ssh,low
2026-09-11T22:07:22,connection_blocked,neha,192.168.1.25,PC-12,SRV-01,http,medium
2026-09-11T22:11:50,ssh_connection,rahul,192.168.1.33,PC-18,SRV-02,ssh,low
2026-09-11T22:11:51,http_request,priya,192.168.1.11,PC-01,SRV-03,ssh,low
2026-09-11T22:24:23,dns_query,rahul,192.168.1.46,PC-31,SRV-01,http,low
2026-09-11T22:40:52,http_request,priya,192.168.1.33,PC-18,SRV-01,tcp,medium
2026-09-11T22:47:10,outbound_connection,priya,192.168.1.46,PC-31,SRV-01,dns,medium
2026-09-11T22:53:08,ssh_connection,amit,192.168.1.40,PC-25,SRV-01,ssh,medium
2026-09-11T22:54:17,connection_allowed,sanchi,192.168.1.25,PC-12,SRV-02,tcp,medium
2026-09-11T22:57:16,http_request,neha,192.168.1.40,PC-25,SRV-02,tcp,low
2026-09-11T23:03:46,outbound_connection,priya,192.168.1.40,PC-25,SRV-01,ssh,low
2026-09-11T23:04:19,connection_blocked,neha,192.168.1.11,PC-01,SRV-02,tcp,medium
2026-09-11T23:07:57,connection_allowed,sanchi,192.168.1.11,PC-01,SRV-01,tcp,medium
2026-09-11T23:15:07,connection_blocked,rahul,192.168.1.33,PC-18,SRV-01,tcp,low
2026-09-11T23:23:13,connection_allowed,amit,192.168.1.17,PC-07,SRV-02,http,low
2026-09-11T23:24:30,connection_blocked,priya,192.168.1.40,PC-25,SRV-02,dns,low
2026-09-11T23:30:37,outbound_connection,neha,192.168.1.11,PC-01,SRV-03,http,medium
2026-09-11T23:32:18,connection_blocked,rahul,192.168.1.46,PC-31,SRV-03,tcp,medium
2026-09-11T23:32:21,dns_query,priya,192.168.1.17,PC-07,SRV-03,http,low
2026-09-11T23:36:07,http_request,amit,192.168.1.46,PC-31,SRV-03,http,medium
2026-09-11T23:37:16,outbound_connection,amit,192.168.1.33,PC-18,SRV-02,dns,medium
2026-09-11T23:38:01,http_request,admin,192.168.1.33,PC-18,SRV-02,http,low
2026-09-11T23:43:32,ssh_connection,admin,192.168.1.11,PC-01,SRV-02,tcp,medium
2026-09-11T23:43:56,ssh_connection,rahul,192.168.1.46,PC-31,SRV-03,http,low
2026-09-11T23:51:43,dns_query,sanchi,192.168.1.17,PC-07,SRV-01,ssh,medium
2026-09-11T23:55:34,http_request,amit,192.168.1.46,PC-31,SRV-02,tcp,medium
2026-09-11T23:56:42,connection_blocked,priya,192.168.1.17,PC-07,SRV-02,dns,low
2026-09-11T23:58:31,outbound_connection,priya,192.168.1.46,PC-31,SRV-01,http,medium
2026-09-12T00:13:33,outbound_connection,priya,192.168.1.40,PC-25,SRV-03,http,medium
2026-09-12T00:24:57,outbound_connection,neha,192.168.1.25,PC-12,SRV-01,http,low
2026-09-12T00:25:36,outbound_connection,sanchi,192.168.1.40,PC-25,SRV-01,ssh,low
2026-09-12T00:44:50,connection_blocked,priya,192.168.1.46,PC-31,SRV-01,tcp,medium
2026-09-12T00:53:46,http_request,priya,192.168.1.46,PC-31,SRV-02,tcp,medium
2026-09-12T01:09:28,dns_query,admin,192.168.1.33,PC-18,SRV-01,dns,medium
2026-09-12T01:24:08,outbound_connection,amit,192.168.1.17,PC-07,SRV-02,dns,low
2026-09-12T01:25:18,connection_allowed,priya,192.168.1.46,PC-31,SRV-02,dns,medium
2026-09-12T01:25:34,connection_allowed,amit,192.168.1.25,PC-12,SRV-03,http,low
2026-09-12T01:32:03,connection_blocked,neha,192.168.1.17,PC-07,SRV-02,ssh,medium
2026-09-12T01:38:34,dns_query,sanchi,192.168.1.17,PC-07,SRV-02,ssh,medium
2026-09-12T01:55:42,connection_allowed,neha,192.168.1.46,PC-31,SRV-01,http,medium
2026-09-12T02:04:00,http_request,neha,192.168.1.33,PC-18,SRV-01,dns,medium
2026-09-12T02:14:19,ssh_connection,amit,192.168.1.17,PC-07,SRV-01,dns,medium
2026-09-12T02:27:23,connection_allowed,admin,192.168.1.11,PC-01,SRV-03,ssh,medium
2026-09-12T02:29:03,connection_allowed,neha,192.168.1.25,PC-12,SRV-01,dns,low
2026-09-12T02:33:17,ssh_connection,rahul,192.168.1.33,PC-18,SRV-02,http,medium
2026-09-12T02:37:53,ssh_connection,admin,192.168.1.40,PC-25,SRV-01,ssh,low
2026-09-12T02:40:12,dns_query,rahul,192.168.1.11,PC-01,SRV-01,tcp,medium
2026-09-12T02:41:31,ssh_connection,rahul,192.168.1.46,PC-31,SRV-01,dns,medium
2026-09-12T02:46:41,dns_query,neha,192.168.1.17,PC-07,SRV-03,dns,medium
2026-09-12T02:49:20,connection_allowed,rahul,192.168.1.11,PC-01,SRV-01,http,low
2026-09-12T03:08:56,ssh_connection,rahul,192.168.1.11,PC-01,SRV-01,http,medium
2026-09-12T03:11:15,http_request,neha,192.168.1.11,PC-01,SRV-02,dns,medium
2026-09-12T03:23:33,http_request,rahul,192.168.1.11,PC-01,SRV-01,http,low
2026-09-12T03:37:49,dns_query,neha,192.168.1.11,PC-01,SRV-02,tcp,low
2026-09-12T03:49:38,connection_blocked,sanchi,192.168.1.25,PC-12,SRV-01,tcp,low
2026-09-12T04:03:51,dns_query,rahul,192.168.1.33,PC-18,SRV-03,tcp,low
2026-09-12T04:04:25,ssh_connection,priya,192.168.1.25,PC-12,SRV-03,ssh,low
2026-09-12T04:09:50,http_request,rahul,192.168.1.33,PC-18,SRV-03,http,medium
2026-09-12T04:31:32,connection_allowed,neha,192.168.1.11,PC-01,SRV-01,http,medium
2026-09-12T04:35:35,ssh_connection,amit,192.168.1.46,PC-31,SRV-03,dns,medium
2026-09-12T05:07:59,outbound_connection,sanchi,192.168.1.33,PC-18,SRV-03,http,low
2026-09-12T05:10:02,dns_query,amit,192.168.1.33,PC-18,SRV-01,dns,low
2026-09-12T05:16:33,connection_blocked,neha,192.168.1.25,PC-12,SRV-03,http,low
2026-09-12T05:30:20,ssh_connection,priya,192.168.1.25,PC-12,SRV-01,tcp,low
2026-09-12T05:32:51,dns_query,neha,192.168.1.17,PC-07,SRV-02,tcp,low
2026-09-12T05:44:06,http_request,amit,192.168.1.11,PC-01,SRV-03,dns,medium
2026-09-12T05:47:36,outbound_connection,amit,192.168.1.11,PC-01,SRV-02,http,low
2026-09-12T05:55:37,ssh_connection,admin,192.168.1.40,PC-25,SRV-01,ssh,low
2026-09-12T05:59:49,outbound_connection,neha,192.168.1.33,PC-18,SRV-03,dns,low
2026-09-12T06:00:53,ssh_connection,rahul,192.168.1.40,PC-25,SRV-01,ssh,medium
2026-09-12T06:02:53,dns_query,sanchi,192.168.1.46,PC-31,SRV-03,tcp,medium
2026-09-12T06:05:39,ssh_connection,admin,192.168.1.17,PC-07,SRV-02,tcp,low
2026-09-12T06:06:02,http_request,admin,192.168.1.25,PC-12,SRV-02,ssh,medium
2026-09-12T06:14:16,dns_query,priya,192.168.1.33,PC-18,SRV-01,tcp,medium
2026-09-12T06:16:45,http_request,rahul,192.168.1.40,PC-25,SRV-03,http,low
2026-09-12T06:28:33,ssh_connection,amit,192.168.1.33,PC-18,SRV-02,dns,medium
2026-09-12T06:30:07,ssh_connection,sanchi,192.168.1.17,PC-07,SRV-02,dns,medium
2026-09-12T06:34:15,connection_blocked,sanchi,192.168.1.17,PC-07,SRV-03,http,low
2026-09-12T06:35:41,http_request,sanchi,192.168.1.40,PC-25,SRV-02,dns,low
2026-09-12T06:48:32,ssh_connection,priya,192.168.1.25,PC-12,SRV-01,http,low
2026-09-12T06:51:09,outbound_connection,rahul,192.168.1.25,PC-12,SRV-03,dns,medium
2026-09-12T06:53:40,http_request,admin,192.168.1.33,PC-18,SRV-03,http,medium
2026-09-12T06:57:37,connection_blocked,neha,192.168.1.33,PC-18,SRV-02,dns,medium
2026-09-12T07:21:28,connection_allowed,amit,192.168.1.46,PC-31,SRV-01,ssh,low
2026-09-12T07:23:35,ssh_connection,neha,192.168.1.46,PC-31,SRV-03,tcp,low
2026-09-12T07:24:20,outbound_connection,amit,192.168.1.46,PC-31,SRV-02,tcp,low
2026-09-12T07:26:34,dns_query,priya,192.168.1.17,PC-07,SRV-02,ssh,low
2026-09-12T07:33:44,outbound_connection,amit,192.168.1.40,PC-25,SRV-01,http,medium
2026-09-12T07:43:51,dns_query,priya,192.168.1.40,PC-25,SRV-01,ssh,medium
2026-09-12T08:15:25,connection_allowed,sanchi,192.168.1.33,PC-18,SRV-03,ssh,medium
2026-09-12T08:25:50,connection_blocked,rahul,192.168.1.46,PC-31,SRV-02,http,low
2026-09-12T08:26:00,connection_blocked,rahul,192.168.1.17,PC-07,SRV-01,ssh,medium
2026-09-12T08:28:38,outbound_connection,sanchi,192.168.1.17,PC-07,SRV-03,http,low
2026-09-12T08:29:40,ssh_connection,admin,192.168.1.46,PC-31,SRV-03,tcp,low
2026-09-12T08:31:23,outbound_connection,rahul,192.168.1.25,PC-12,SRV-01,http,medium
2026-09-12T08:34:49,http_request,sanchi,192.168.1.33,PC-18,SRV-02,tcp,low
2026-09-12T09:06:49,dns_query,rahul,192.168.1.46,PC-31,SRV-03,tcp,low
2026-09-12T09:10:59,connection_blocked,rahul,192.168.1.11,PC-01,SRV-03,tcp,medium
2026-09-12T09:28:49,connection_allowed,amit,192.168.1.25,PC-12,SRV-03,http,low
2026-09-12T09:35:30,connection_blocked,priya,192.168.1.11,PC-01,SRV-03,dns,low
2026-09-12T09:38:09,outbound_connection,amit,192.168.1.25,PC-12,SRV-01,ssh,low
2026-09-12T09:47:40,connection_blocked,amit,192.168.1.25,PC-12,SRV-01,tcp,low
2026-09-12T09:54:56,ssh_connection,priya,192.168.1.17,PC-07,SRV-02,http,low
