timestamp,event_type,user,source_host,action,severity
2026-09-11T22:59:49,service_start,rahul,PC-31,svchost,low
2026-09-11T23:14:56,software_update,sanchi,PC-12,backup,medium
2026-09-11T23:19:03,process_execution,admin,PC-12,backup,low
2026-09-11T23:22:27,service_start,amit,PC-31,chrome,medium
2026-09-11T23:23:57,file_created,admin,PC-18,backup,medium
2026-09-11T23:34:03,process_execution,neha,PC-25,powershell,medium
2026-09-11T23:41:48,service_start,admin,PC-18,explorer,medium
2026-09-11T23:52:05,service_start,amit,PC-25,backup,medium
2026-09-12T00:03:35,file_access,rahul,PC-12,chrome,medium
2026-09-12T00:12:57,file_created,admin,PC-01,backup,medium
2026-09-12T00:20:29,process_exit,sanchi,PC-12,svchost,low
2026-09-12T00:29:31,service_start,sanchi,PC-31,explorer,low
2026-09-12T00:31:02,process_execution,admin,PC-31,svchost,medium
2026-09-12T00:54:25,file_access,amit,PC-01,svchost,low
2026-09-12T01:02:07,software_update,priya,PC-07,powershell,medium
2026-09-12T01:04:47,process_exit,sanchi,PC-07,chrome,medium
2026-09-12T01:06:21,process_exit,rahul,PC-18,svchost,low
2026-09-12T01:31:12,software_update,priya,PC-01,backup,low
2026-09-12T01:37:24,process_exit,amit,PC-25,powershell,low
2026-09-12T01:39:09,file_created,rahul,PC-12,powershell,medium
2026-09-12T01:39:30,software_update,admin,PC-07,svchost,medium
2026-09-12T01:40:40,process_exit,amit,PC-07,svchost,medium
2026-09-12T01:54:00,software_update,rahul,PC-07,powershell,medium
2026-09-12T01:55:40,software_update,rahul,PC-07,svchost,low
2026-09-12T01:56:17,process_exit,admin,PC-25,powershell,low
2026-09-12T02:06:01,service_start,priya,PC-12,powershell,low
2026-09-12T02:09:48,file_access,rahul,PC-25,powershell,medium
2026-09-12T02:14:07,software_update,amit,PC-31,explorer,medium
2026-09-12T02:19:59,process_execution,amit,PC-01,chrome,medium
2026-09-12T02:22:27,file_access,amit,PC-31,svchost,medium
2026-09-12T02:22:59,process_exit,admin,PC-31,svchost,low
2026-09-12T02:27:25,process_exit,amit,PC-07,chrome,medium
2026-09-12T02:30:59,file_created,sanchi,PC-31,powershell,medium
2026-09-12T02:33:29,file_created,sanchi,PC-31,svchost,medium
2026-09-12T02:40:36,process_execution,priya,PC-01,backup,medium
2026-09-12T02:44:20,process_exit,rahul,PC-12,backup,medium
2026-09-12T02:48:33,process_exit,sanchi,PC-18,powershell,medium
2026-09-12T02:54:59,file_created,priya,PC-18,explorer,low
2026-09-12T03:01:03,process_exit,amit,PC-07,chrome,low
2026-09-12T03:03:05,file_access,rahul,PC-07,backup,medium
2026-09-12T03:23:00,service_start,priya,PC-07,svchost,medium
2026-09-12T03:23:00,process_execution,sanchi,PC-07,svchost,medium
2026-09-12T03:25:01,service_start,amit,PC-18,explorer,medium
2026-09-12T03:28:08,file_created,sanchi,PC-25,svchost,medium
2026-09-12T03:42:16,file_access,neha,PC-07,explorer,low
2026-09-12T03:48:59,service_start,amit,PC-18,chrome,medium
2026-09-12T03:59:12,process_exit,rahul,PC-12,powershell,medium
2026-09-12T04:06:33,file_access,priya,PC-18,explorer,medium
2026-09-12T04:07:58,service_start,priya,PC-25,svchost,medium
2026-09-12T04:15:15,software_update,neha,PC-01,chrome,medium
2026-09-12T04:17:53,process_exit,priya,PC-07,powershell,low
2026-09-12T04:18:31,process_exit,rahul,PC-01,explorer,medium
2026-09-12T04:31:23,file_access,neha,PC-01,explorer,low
2026-09-12T04:40:51,file_access,priya,PC-31,chrome,low
2026-09-12T04:53:32,service_start,sanchi,PC-01,explorer,medium
2026-09-12T04:54:22,file_created,sanchi,PC-01,backup,low
2026-09-12T04:54:29,process_exit,admin,PC-07,powershell,low
2026-09-12T05:04:36,service_start,rahul,PC-18,svchost,low
2026-09-12T05:09:55,file_created,rahul,PC-31,backup,medium
2026-09-12T05:11:06,process_execution,priya,PC-12,explorer,medium
2026-09-12T05:23:26,process_exit,priya,PC-07,powershell,medium
2026-09-12T05:24:38,service_start,sanchi,PC-25,svchost,medium
2026-09-12T05:29:03,process_execution,priya,PC-31,explorer,medium
2026-09-12T05:32:25,software_update,rahul,PC-01,explorer,medium
2026-09-12T05:38:21,process_exit,sanchi,PC-25,svchost,low
2026-09-12T05:46:16,process_execution,admin,PC-12,explorer,medium
2026-09-12T06:04:20,file_access,priya,PC-25,explorer,medium
2026-09-12T06:15:10,service_start,sanchi,PC-01,powershell,low
2026-09-12T06:26:59,service_start,rahul,PC-12,backup,low
2026-09-12T06:29:43,process_execution,sanchi,PC-18,svchost,medium
2026-09-12T06:31:14,process_execution,rahul,PC-01,chrome,medium
2026-09-12T06:31:29,file_created,amit,PC-18,powershell,medium
2026-09-12T06:36:17,process_execution,priya,PC-31,powershell,medium
2026-09-12T06:45:47,service_start,amit,PC-07,powershell,medium
2026-09-12T07:06:05,file_access,sanchi,PC-31,chrome,medium
2026-09-12T07:14:43,process_exit,admin,PC-07,powershell,medium
2026-09-12T07:20:58,service_start,neha,PC-07,explorer,low
2026-09-12T07:23:03,file_access,priya,PC-31,backup,low
2026-09-12T07:37:00,process_exit,sanchi,PC-25,powershell,medium
2026-09-12T07:46:06,file_created,rahul,PC-31,svchost,low
2026-09-12T07:49:14,file_access,rahul,PC-01,svchost,low
2026-09-12T08:01:50,software_update,neha,PC-31,svchost,medium
2026-09-12T08:07:15,process_execution,priya,PC-18,explorer,low
2026-09-12T08:10:22,service_start,priya,PC-31,chrome,low
2026-09-12T08:13:51,software_update,sanchi,PC-31,explorer,low
2026-09-12T08:16:39,software_update,sanchi,PC-31,explorer,low
2026-09-12T08:23:30,software_update,amit,PC-25,backup,low
2026-09-12T08:24:18,file_access,admin,PC-07,svchost,medium
2026-09-12T08:36:21,file_created,sanchi,PC-31,explorer,low
2026-09-12T08:41:29,process_execution,priya,PC-25,explorer,low
2026-09-12T08:50:10,software_update,sanchi,PC-07,chrome,medium
2026-09-12T08:50:42,service_start,priya,PC-01,backup,low
2026-09-12T09:14:55,file_created,sanchi,PC-01,explorer,medium
2026-09-12T09:18:24,process_execution,admin,PC-12,backup,low
2026-09-12T09:20:40,process_exit,admin,PC-12,chrome,low
2026-09-12T09:21:49,process_execution,priya,PC-25,chrome,medium
2026-09-12T09:30:59,file_created,rahul,PC-01,powershell,low
2026-09-12T09:34:49,software_update,rahul,PC-31,svchost,medium
2026-09-12T09:42:24,software_update,neha,PC-25,powershell,low
2026-09-12T09:51:58,file_created,rahul,PC-07,backup,medium
2026-09-12T09:53:10,software_update,priya,PC-31,explorer,low
